keyword_lower,count
chief information officer,165
cio,104
it leadership,58
information technology,57
digital transformation,46
leadership,44
chief information officer (cio),41
it governance,40
cloud computing,28
chief information officers,24
information systems,23
it management,21
higher education,18
firm performance,18
enterprise architecture,16
information management,16
top management team,15
e-government,15
innovation,15
project management,15
knowledge management,14
outsourcing,14
technology,13
it strategy,12
public sector,12
survey,12
cios,11
governance,11
big data,11
erp,11
chief digital officer,11
business intelligence,11
security,10
it,10
cybersecurity,10
organizational culture,9
digital innovation,9
is leadership,9
hospitals,9
resource-based view,9
strategy,8
business strategy,8
strategic alignment,8
ceo,8
alignment,8
structural equation modeling,8
upper echelons theory,7
critical success factors,7
competitive advantage,7
competencies,7
implementation,7
agency theory,7
management,7
health information technology,7
green it,7
cfo,7
event study,7
information systems planning,7
compliance,6
privacy,6
dynamic capabilities,6
roles,6
artificial intelligence,6
information security,6
maturity,6
organizational performance,6
challenges,6
board of directors,6
it business value,6
government,6
information technology (it),6
south africa,6
it investment,6
sustainability,6
smes,6
collaboration,6
transformational leadership,6
change management,6
skills,6
culture,5
cio roles,5
adoption,5
risk management,5
risk assessment,5
interoperability,5
barriers,5
it capabilities,5
cdo,5
iot,5
electronic health records,5
big data analytics,5
social capital,5
it innovation,5
information governance,5
ambidexterity,5
chief executive officer,5
chief marketing officer,5
strategic management,5
trust,5
top management teams,5
structural power,5
local government,5
shared understanding,5
qualitative research,5
power,4
professional development,4
ciso,4
digital strategy,4
it expertise,4
upper echelon theory,4
top management,4
decision making,4
influence,4
knowledge,4
iot adoption,4
it-business alignment,4
environmental uncertainty,4
fsqca,4
organizational learning,4
social media,4
ict,4
maturity model,4
covid-19,4
literature review,4
medical informatics,4
public administration,4
corporate governance,4
software,4
open source software,4
it leaders,4
it capability,4
cio turnover,4
change,4
disruptive technologies,4
green is,4
hospital information systems,4
pls,4
communication,4
success factors,4
government chief information officer,4
information technology leadership,4
cio role,4
perceptions,4
government chief information officer (gcio),4
effectiveness,4
is strategy,4
curriculum,4
evaluation,4
it value,4
case study,4
business process reengineering,4
municipalities,4
strategic planning,4
web 2.0,4
design science,4
financial performance,4
is management,4
information technology management,4
leadership roles,4
electronic commerce,4
digitalisation,3
capability,3
chief information security officer,3
cyber security,3
digital leadership,3
empirical study,3
media richness,3
it governance (itg),3
clinical informatics,3
devops,3
transaction costs,3
data quality,3
expectations,3
partial least squares (pls),3
information technology investment,3
decision-making,3
experience,3
training,3
it security,3
cloud,3
organization,3
ontario,3
electronic medical records,3
research,3
business value,3
industry 4.0,3
electronic health record,3
qualitative,3
software engineering,3
cto,3
psychometric properties,3
diffusion of innovation,3
organisational culture,3
information security breach,3
academic libraries,3
information technology adoption,3
cio compensation,3
internal control,3
ambidextrous leadership,3
gcio,3
digital business,3
enterprise resource planning,3
organizational impact,3
machine learning,3
intention to stay,3
it personnel,3
job tenure,3
chief information office,3
digital capability,3
organizational innovation,3
competence,3
framework,3
profile,3
enterprise systems,3
cio background,3
absorptive capacity,3
cmo,3
upper echelons,3
top management team (tmt),3
interviews,3
human capital,3
opportunities,3
it competence,3
contingency theory,3
cio competencies,3
data,3
information technology strategy,3
it knowledge,3
it function,3
attention-based view,3
data management,3
it outsourcing,3
business model innovation,3
it alignment,3
education,3
cio profile,3
cio (chief information officer),3
design science research,3
open source,3
healthcare,3
grounded theory,3
leadership style,3
decision support,3
is,3
management information systems,3
information value,3
business process re-engineering,3
information and communication technology,3
hospital,3
autonomy,3
is planning,3
is education,3
strategic information systems planning,3
strategic information systems,3
chief financial officer (cfo),3
business process,3
is capabilities,3
communication technologies,3
private sector,3
enterprise 2.0,3
business and it alignment,3
crm,3
cio success,3
executive leadership,3
management of it,3
theory y,3
information officers,3
large companies,3
factor analysis,3
electronic government,3
risk analysis,3
service delivery,3
it managers,3
competences,3
it investments,3
corporate operations,2
economic modeling,2
enterprise security,2
identity and access management,2
investment prioritization,2
organizational agility,2
it exploitation,2
it exploration,2
cio tenure,2
systematic literature review,2
knowledge management enablers,2
chief data officer,2
competitiveness,2
digital maturity,2
sourcing decisions,2
information risk,2
technology leadership,2
cdos,2
digital technologies,2
intrusion detection system,2
health informatics,2
hospital it,2
system quality,2
cyber threats,2
digital government,2
agile,2
cyberattack,2
strategic leadership,2
political skill,2
innovation adoption,2
chief data officer (cdo),2
data governance,2
marketing technology,2
china,2
information asymmetry,2
potential performance,2
resource allocation,2
data analytics,2
saas,2
blended learning,2
engineering education,2
interdisciplinarity,2
agility,2
followers,2
responsibility,2
transparency,2
information and communications technology (ict),2
software development,2
japan,2
bitcoin,2
blockchain,2
network effect,2
group decision-making,2
board characteristics,2
ceo characteristics,2
ir4.0 adoption,2
disaster recovery planning,2
fuzzy cognitive maps,2
maturity models,2
iown apn,2
system development,2
intrapreneurship,2
user participation,2
information security risk management,2
information literacy,2
it services,2
management training,2
commitment,2
it professionals,2
chief information officer role,2
configuration of cio roles,2
duality of cio roles,2
hierarchical models,2
information technologies,2
internet of things,2
senior leadership,2
board monitoring,2
transformation of the role of it,2
mixed methods,2
survival,2
banking industry,2
e-service quality,2
it support,2
information system,2
career progression,2
fortune 500,2
linkedin,2
executive compensation,2
international financial reporting standards,2
information technology strategic planning,2
remote collaboration,2
state chief information officers,2
intellectual capital,2
erp success,2
role of it,2
cio reporting structure,2
it risk management,2
scale development,2
digital literacy,2
it ambidexterity,2
clinical information logistics,2
it strategic alignment,2
organizational structure,2
activities,2
cio’s role,2
health information management,2
customer relationship management,2
role,2
ethics,2
workplace,2
architecture,2
expectation disconfirmation theory,2
outsourcing success factors,2
strategic positioning,2
chief financial officer,2
risk management framework,2
it strategic planning,2
pandemic,2
digitalization,2
career opportunities,2
case studies,2
digital leaders,2
university,2
on-demand,2
upgrade,2
personality traits,2
business-it alignment,2
effective communication,2
perception,2
it organization,2
change agent,2
evolution,2
process innovation capabilities,2
emotional intelligence,2
it skills,2
soft skills,2
directorate general of taxes,2
metrics,2
performance measurement,2
creativity,2
validation,2
maturity level,2
systems,2
it operations,2
profession,2
environmental turbulence,2
digital business transformation,2
institutional logic,2
innovation performance,2
remediation,2
it infrastructure,2
technological innovation,2
city,2
systems integration,2
chief information security officer (ciso),2
digitization,2
public value,2
strategic value of it,2
evaluation model,2
teaching cases,2
brazil,2
it professional,2
social representation theory,2
cryptography,2
e-governance,2
transactional leadership,2
proprietary software,2
conceptual framework,2
cities,2
fractional cio,2
small businesses,2
business performance,2
cio evolution,2
cio transformation,2
it executive,2
assessment,2
portal,2
educational technology,2
strategic is planning,2
cybersecurity breach,2
records management,2
security assurance,2
software as a service,2
data security,2
financial services,2
interdependence,2
security management,2
cio gender,2
employee gender,2
internalization,2
stereotype,2
complexity science,2
information technology infrastructure,2
knowledge sharing,2
information,2
cio role effectiveness,2
hofstede,2
ict leadership,2
chief information officers (cio),2
health information technology (hit),2
hospital administration,2
vendors,2
longitudinal study,2
is strategic alignment,2
computing,2
reach,2
richness,2
it project management,2
institutionalization,2
roi,2
csf,2
enterprise information systems,2
europe,2
firm size,2
motivations,2
it capability maturity framework,2
business transformation,2
e-business,2
executive roles and responsibilities,2
supply chain management,2
boards of directors,2
spain,2
rfid,2
technology adoption,2
kaplan-meier estimator,2
women in leadership,2
balanced scorecard approach,2
it-enabled business innovation,2
