variant_group_key,variant,count,group_total
chief information officer,Chief information officer,83,189
chief information officer,Chief Information Officer,57,189
chief information officer,chief information officer,23,189
chief information officer,Chief information officers,16,189
chief information officer,Chief Information Officers,6,189
chief information officer,chief information officers,2,189
chief information officer,Chief information Officer,1,189
chief information officer,Chief Information officer,1,189
cio,CIO,104,115
cio,CIOs,11,115
information technology,Information technology,42,59
information technology,information technology,11,59
information technology,Information Technology,4,59
information technology,Information Technologies,1,59
information technology,Information technologies,1,59
digital transformation,digital transformation,19,47
digital transformation,Digital transformation,18,47
digital transformation,Digital Transformation,9,47
digital transformation,Digital transformations,1,47
information system,Information systems,18,25
information system,information systems,3,25
information system,Information Systems,2,25
information system,Information system,1,25
information system,information system,1,25
top management team,Top management team,7,20
top management team,top management team,6,20
top management team,Top management teams,4,20
top management team,Top Management Team,2,20
top management team,top management teams,1,20
technology,Technology,10,14
technology,technology,3,14
technology,Technologies,1,14
it strategy,IT strategy,8,13
it strategy,IT Strategy,4,13
it strategy,IT strategies,1,13
chief digital officer,Chief Digital Officer,5,12
chief digital officer,Chief digital officer,4,12
chief digital officer,chief digital officer,2,12
chief digital officer,chief digital officers,1,12
hospital,Hospitals,7,12
hospital,Hospital,3,12
hospital,hospitals,2,12
cio role,CIO roles,4,9
cio role,CIO role,3,9
cio role,CIO Role,1,9
cio role,CIO Roles,1,9
it capability,IT capabilities,4,9
it capability,IT capability,3,9
it capability,IT Capabilities,1,9
it capability,IT Capability,1,9
it investment,IT investment,6,9
it investment,IT investments,3,9
competency,Competencies,6,8
competency,competencies,1,8
competency,competency,1,8
competitive advantage,Competitive advantage,4,8
competitive advantage,Competitive Advantage,2,8
competitive advantage,competitive advantage,1,8
competitive advantage,Competitive advantages,1,8
electronic health record,Electronic health record,2,8
electronic health record,Electronic health records,2,8
electronic health record,Electronic Health Records,2,8
electronic health record,electronic health record,1,8
electronic health record,electronic health records,1,8
green it,Green IT,6,8
green it,Green it,1,8
green it,Green ITS,1,8
role,Roles,5,8
role,role,1,8
role,Role,1,8
role,roles,1,8
cdo,CDO,5,7
cdo,CDOs,2,7
case study,Case study,4,6
case study,Case Studies,1,6
case study,Case studies,1,6
competence,Competences,3,6
competence,competence,2,6
competence,Competence,1,6
maturity model,Maturity model,2,6
maturity model,maturity model,1,6
maturity model,Maturity Model,1,6
maturity model,maturity models,1,6
maturity model,Maturity models,1,6
perception,Perceptions,4,6
perception,Perception,2,6
government chief information officer,government chief information officer,2,5
government chief information officer,Government Chief Information Officer,1,5
government chief information officer,Government chief information officer,1,5
government chief information officer,Government Chief Information Officers,1,5
hospital information system,Hospital information systems,4,5
hospital information system,hospital information system,1,5
municipality,Municipalities,3,5
municipality,municipalities,1,5
municipality,Municipality,1,5
capability,Capability,3,4
capability,Capabilities,1,4
cio compensation,CIO compensation,3,4
cio compensation,CIO compensations,1,4
city,cities,1,4
city,Cities,1,4
city,city,1,4
city,City,1,4
cloud,Cloud,2,4
cloud,cloud,1,4
cloud,Clouds,1,4
information officer,Information officers,3,4
information officer,information officer,1,4
internal control,Internal control,3,4
internal control,Internal controls,1,4
interview,Interviews,2,4
interview,Interview,1,4
interview,interviews,1,4
it competence,IT competence,2,4
it competence,IT Competence,1,4
it competence,IT Competences,1,4
it professional,IT professionals,2,4
it professional,IT Professional,1,4
it professional,IT professional,1,4
leadership style,Leadership style,2,4
leadership style,leadership style,1,4
leadership style,Leadership Styles,1,4
manager,Managers,2,4
manager,Manager,1,4
manager,manager,1,4
organization,Organization,3,4
organization,Organizations,1,4
chief data officer,Chief data officer,1,3
chief data officer,chief data officer,1,3
chief data officer,chief data officers,1,3
chief information officer role,Chief information officer role,2,3
chief information officer role,Chief information officer roles,1,3
cio appointment,CIO appointments,2,3
cio appointment,CIO appointment,1,3
clinical information system,Clinical information system,1,3
clinical information system,Clinical Information Systems,1,3
clinical information system,Clinical information systems,1,3
cyberattack,Cyberattack,2,3
cyberattack,Cyberattacks,1,3
developing country,Developing countries,2,3
developing country,Developing Country,1,3
digital technology,digital technologies,1,3
digital technology,Digital technologies,1,3
digital technology,Digital technology,1,3
motivation,Motivations,2,3
motivation,motivation,1,3
ranking,Rankings,2,3
ranking,Ranking,1,3
senior executive,senior executive,1,3
senior executive,Senior executives,1,3
senior executive,senior executives,1,3
stereotype,stereotype,1,3
stereotype,Stereotype,1,3
stereotype,stereotypes,1,3
teaching case,teaching cases,2,3
teaching case,Teaching case,1,3
university,Universities,1,3
university,university,1,3
university,University,1,3
website,Websites,2,3
website,Website,1,3
career path,Career path,1,2
career path,career paths,1,2
complementarity,Complementarities,1,2
complementarity,Complementarity,1,2
core competency,Core Competencies,1,2
core competency,Core competency,1,2
cultural dimension,cultural dimension,1,2
cultural dimension,Cultural dimensions,1,2
design pattern,Design Pattern,1,2
design pattern,Design Patterns,1,2
digital tool,Digital Tool,1,2
digital tool,Digital tools,1,2
environmental pressure,Environmental pressure,1,2
environmental pressure,Environmental pressures,1,2
executive,Executive,1,2
executive,Executives,1,2
health information system,Health Information System,1,2
health information system,health information systems,1,2
health system,health system,1,2
health system,health systems,1,2
impact,Impact,1,2
impact,Impacts,1,2
influence behavior,Influence behavior,1,2
influence behavior,Influence behaviors,1,2
information behavior,Information behavior,1,2
information behavior,information behaviors,1,2
information technology (it) manager,Information technology (IT) manager,1,2
information technology (it) manager,Information technology (IT) managers,1,2
it human resource,IT human resource,1,2
it human resource,IT Human Resources,1,2
it role,IT role,1,2
it role,IT Roles,1,2
it/business relationship,IT/business relationship,1,2
it/business relationship,IT/business relationships,1,2
mathematical model,Mathematical model,1,2
mathematical model,Mathematical models,1,2
online survey,Online survey,1,2
online survey,Online surveys,1,2
ontology,Ontologies,1,2
ontology,Ontology,1,2
operational capability,Operational capabilities,1,2
operational capability,operational capability,1,2
r&d investment,R&D investment,1,2
r&d investment,R&D investments,1,2
transactive memory system,Transactive memory system,1,2
transactive memory system,transactive memory systems,1,2
