label	replace by
Chief Information Officer	Chief information officer
chief information officer	Chief information officer
Chief information officers	Chief information officer
Chief Information Officers	Chief information officer
chief information officers	Chief information officer
Chief information Officer	Chief information officer
Chief Information officer	Chief information officer
CIOs	CIO
information technology	Information technology
Information Technology	Information technology
Information Technologies	Information technology
Information technologies	Information technology
Digital transformation	digital transformation
Digital Transformation	digital transformation
Digital transformations	digital transformation
information systems	Information systems
Information Systems	Information systems
Information system	Information systems
information system	Information systems
top management team	Top management team
Top management teams	Top management team
Top Management Team	Top management team
top management teams	Top management team
technology	Technology
Technologies	Technology
IT Strategy	IT strategy
IT strategies	IT strategy
Chief digital officer	Chief Digital Officer
chief digital officer	Chief Digital Officer
chief digital officers	Chief Digital Officer
Hospital	Hospitals
hospitals	Hospitals
CIO role	CIO roles
CIO Role	CIO roles
CIO Roles	CIO roles
IT capability	IT capabilities
IT Capabilities	IT capabilities
IT Capability	IT capabilities
IT investments	IT investment
competencies	Competencies
competency	Competencies
Competitive Advantage	Competitive advantage
competitive advantage	Competitive advantage
Competitive advantages	Competitive advantage
Electronic health records	Electronic health record
Electronic Health Records	Electronic health record
electronic health record	Electronic health record
electronic health records	Electronic health record
Green it	Green IT
Green ITS	Green IT
role	Roles
Role	Roles
roles	Roles
CDOs	CDO
Case Studies	Case study
Case studies	Case study
competence	Competences
Competence	Competences
maturity model	Maturity model
Maturity Model	Maturity model
maturity models	Maturity model
Maturity models	Maturity model
Perception	Perceptions
Government Chief Information Officer	government chief information officer
Government chief information officer	government chief information officer
Government Chief Information Officers	government chief information officer
hospital information system	Hospital information systems
municipalities	Municipalities
Municipality	Municipalities
Capabilities	Capability
CIO compensations	CIO compensation
Cities	cities
city	cities
City	cities
cloud	Cloud
Clouds	Cloud
information officer	Information officers
Internal controls	Internal control
Interview	Interviews
interviews	Interviews
IT Competence	IT competence
IT Competences	IT competence
IT Professional	IT professionals
IT professional	IT professionals
leadership style	Leadership style
Leadership Styles	Leadership style
Manager	Managers
manager	Managers
Organizations	Organization
chief data officer	Chief data officer
chief data officers	Chief data officer
Chief information officer roles	Chief information officer role
CIO appointment	CIO appointments
Clinical Information Systems	Clinical information system
Clinical information systems	Clinical information system
Cyberattacks	Cyberattack
Developing Country	Developing countries
Digital technologies	digital technologies
Digital technology	digital technologies
motivation	Motivations
Ranking	Rankings
Senior executives	senior executive
senior executives	senior executive
Stereotype	stereotype
stereotypes	stereotype
Teaching case	teaching cases
