keyword_lower,count
chief information officer,162
cio,99
it leadership,56
information technology,52
digital transformation,43
leadership,41
chief information officer (cio),41
it governance,38
cloud computing,25
information systems,23
chief information officers,22
it management,21
higher education,18
firm performance,18
enterprise architecture,16
top management team,15
project management,15
e-government,15
outsourcing,14
innovation,14
knowledge management,13
public sector,12
information management,12
it strategy,11
governance,11
big data,11
erp,11
survey,11
chief digital officer,11
business intelligence,11
technology,10
cios,10
it,9
is leadership,9
cybersecurity,9
digital innovation,9
resource-based view,9
organizational culture,8
alignment,8
strategy,8
business strategy,8
strategic alignment,8
ceo,8
security,8
structural equation modeling,8
upper echelons theory,7
critical success factors,7
competitive advantage,7
agency theory,7
green it,7
cfo,7
event study,7
information systems planning,7
compliance,6
dynamic capabilities,6
roles,6
artificial intelligence,6
information security,6
maturity,6
organizational performance,6
challenges,6
board of directors,6
it business value,6
competencies,6
government,6
information technology (it),6
south africa,6
it investment,6
sustainability,6
smes,6
collaboration,6
transformational leadership,6
change management,6
management,6
skills,6
culture,5
cio roles,5
adoption,5
risk management,5
top management teams,5
risk assessment,5
it capabilities,5
cdo,5
iot,5
big data analytics,5
social capital,5
implementation,5
it innovation,5
information governance,5
ambidexterity,5
local government,5
chief marketing officer,5
strategic management,5
structural power,5
shared understanding,5
power,4
professional development,4
digital strategy,4
it expertise,4
upper echelon theory,4
top management,4
interoperability,4
barriers,4
decision making,4
influence,4
knowledge,4
iot adoption,4
it value,4
it-business alignment,4
environmental uncertainty,4
fsqca,4
social media,4
ict,4
maturity model,4
literature review,4
chief executive officer,4
public administration,4
corporate governance,4
software,4
it leaders,4
it capability,4
cio turnover,4
change,4
disruptive technologies,4
green is,4
information technology management,4
pls,4
government chief information officer,4
trust,4
information technology leadership,4
privacy,4
perceptions,4
qualitative research,4
government chief information officer (gcio),4
effectiveness,4
is strategy,4
case study,4
business process reengineering,4
municipalities,4
strategic planning,4
web 2.0,4
design science,4
is management,4
leadership roles,4
electronic commerce,4
capability,3
chief information security officer,3
ciso,3
cyber security,3
digital leadership,3
empirical study,3
media richness,3
it governance (itg),3
devops,3
transaction costs,3
data quality,3
expectations,3
partial least squares (pls),3
information technology investment,3
decision-making,3
experience,3
training,3
it security,3
cloud,3
organization,3
ontario,3
absorptive capacity,3
business value,3
organizational learning,3
industry 4.0,3
software engineering,3
cto,3
psychometric properties,3
information security breach,3
academic libraries,3
information technology adoption,3
open source software,3
cio compensation,3
internal control,3
gcio,3
digital business,3
enterprise resource planning,3
organizational impact,3
intention to stay,3
it personnel,3
job tenure,3
chief information office,3
digital capability,3
competence,3
framework,3
profile,3
enterprise systems,3
cio background,3
cmo,3
top management team (tmt),3
interviews,3
human capital,3
success factors,3
information value,3
it competence,3
contingency theory,3
cio competencies,3
information technology strategy,3
it knowledge,3
it function,3
attention-based view,3
data management,3
cio role,3
it outsourcing,3
business model innovation,3
it alignment,3
education,3
communication,3
grounded theory,3
it investments,3
business and it alignment,3
large companies,3
cio profile,3
cio (chief information officer),3
design science research,3
open source,3
healthcare,3
leadership style,3
is,3
management information systems,3
business process re-engineering,3
information and communication technology,3
autonomy,3
is planning,3
is education,3
strategic information systems planning,3
strategic information systems,3
chief financial officer (cfo),3
business process,3
is capabilities,3
communication technologies,3
private sector,3
enterprise 2.0,3
executive leadership,3
financial performance,3
crm,3
cio success,3
management of it,3
theory y,3
information officers,3
electronic government,3
risk analysis,3
service delivery,3
it managers,3
competences,3
corporate operations,2
economic modeling,2
enterprise security,2
identity and access management,2
investment prioritization,2
organizational agility,2
it exploitation,2
it exploration,2
cio tenure,2
knowledge management enablers,2
chief data officer,2
competitiveness,2
digital maturity,2
sourcing decisions,2
information risk,2
technology leadership,2
cdos,2
digital technologies,2
intrusion detection system,2
longitudinal study,2
system quality,2
cyber threats,2
digital government,2
agile,2
cyberattack,2
strategic leadership,2
business transformation,2
political skill,2
innovation adoption,2
cio’s role,2
