keyword,count
CIO,99
Chief information officer,82
Chief Information Officer,57
Information technology,38
IT leadership,37
Leadership,36
IT governance,30
Chief information officer (CIO),23
chief information officer,22
IT Leadership,19
Cloud computing,19
Digital transformation,18
digital transformation,18
Information systems,18
Chief Information Officer (CIO),16
IT management,16
Chief information officers,14
Innovation,14
Firm performance,13
ERP,11
Higher education,11
Project management,11
CIOs,10
information technology,10
Governance,10
Survey,10
Outsourcing,10
Information management,10
Enterprise Architecture,9
IT,9
Technology,9
Public sector,9
Business intelligence,9
IT strategy,8
Cybersecurity,8
CEO,8
Critical success factors,7
Digital Transformation,7
Top management team,7
Alignment,7
Digital innovation,7
Strategy,7
Business strategy,7
CFO,7
Knowledge management,7
Compliance,6
top management team,6
Chief Information Officers,6
IT Governance,6
Organizational culture,6
Competencies,6
South Africa,6
IT investment,6
Green IT,6
SMEs,6
Resource-based view,6
Transformational leadership,6
Security,6
Management,6
Skills,6
IS leadership,6
Culture,5
Adoption,5
Roles,5
leadership,5
higher education,5
Organizational performance,5
Big data,5
CDO,5
firm performance,5
Big data analytics,5
Ambidexterity,5
Chief Digital Officer,5
Strategic alignment,5
Enterprise architecture,5
Sustainability,5
E-government,5
Collaboration,5
E-Government,5
Structural equation modeling,5
Maturity,5
Information systems planning,5
CIO roles,4
Professional development,4
Top management teams,4
Interoperability,4
Information Technology,4
Knowledge Management,4
Dynamic capabilities,4
IoT adoption,4
IoT,4
government,4
Environmental uncertainty,4
fsQCA,4
Social media,4
social capital,4
Implementation,4
ICT,4
Big Data,4
software,4
IT capabilities,4
Agency Theory,4
IT leaders,4
Green IS,4
cloud computing,4
Chief digital officer,4
PLS,4
outsourcing,4
Perceptions,4
Effectiveness,4
IS strategy,4
Case study,4
Competitive advantage,4
Business process reengineering,4
Change management,4
Web 2.0,4
IS management,4
Upper Echelons Theory,3
Capability,3
CISO,3
IT expertise,3
IT governance (ITG),3
challenges,3
DevOps,3
Upper echelons theory,3
project management,3
Transaction costs,3
Expectations,3
Information technology investment,3
Training,3
IT business value,3
IT-business alignment,3
Influence,3
Organization,3
Ontario,3
public sector,3
Absorptive capacity,3
Business value,3
Industry 4.0,3
Information Technology (IT),3
IT innovation,3
CTO,3
Information governance,3
Public administration,3
Chief marketing officer,3
Risk assessment,3
Information security breach,3
Academic libraries,3
Information technology adoption,3
CIO compensation,3
Internal control,3
literature review,3
GCIO,3
e-Government,3
IT personnel,3
IT Strategy,3
Digital capability,3
IT capability,3
Challenges,3
CIO background,3
strategic alignment,3
Local government,3
CMO,3
IT Business Value,3
Barriers,3
Change,3
Information value,3
Information Security,3
event study,3
Privacy,3
Trust,3
attention-based view,3
Data management,3
CIO turnover,3
IT Management,3
Communication,3
IT investments,3
Business and IT alignment,3
CIO profile,3
Open source,3
IS,3
Municipalities,3
Business process re-engineering,3
Shared understanding,3
Autonomy,3
IS planning,3
IS education,3
Strategic information systems planning,3
Strategic planning,3
IS capabilities,3
Communication technologies,3
Private sector,3
Enterprise 2.0,3
Executive leadership,3
CRM,3
CIO success,3
Management of IT,3
Theory Y,3
information systems,3
Information officers,3
Knowledge,3
Competences,3
Electronic commerce,3
Strategic management,3
Leadership roles,3
Organizational agility,2
power,2
IT Exploitation,2
IT Exploration,2
CIO tenure,2
Dynamic Capabilities,2
Knowledge management enablers,2
artificial intelligence,2
information security,2
risk management,2
Technology leadership,2
CDOs,2
Digital Strategy,2
It governance,2
Longitudinal study,2
Empirical study,2
Upper echelon theory,2
System quality,2
Top management,2
Digital Government,2
Agile,2
Cyberattack,2
Board of directors,2
Artificial intelligence,2
Competitive Advantage,2
Decision making,2
Business transformation,2
Innovation adoption,2
CIO’s role,2
Chief data officer (CDO),2
Data quality,2
China,2
E-governance,2
Experience,2
Potential performance,2
IT value,2
Risk management,2
