variant_group_key,variant,count,group_total
chief information officer,Chief information officer,82,184
chief information officer,Chief Information Officer,57,184
chief information officer,chief information officer,22,184
chief information officer,Chief information officers,14,184
chief information officer,Chief Information Officers,6,184
chief information officer,chief information officers,2,184
chief information officer,Chief Information officer,1,184
cio,CIO,99,109
cio,CIOs,10,109
information technology,Information technology,38,54
information technology,information technology,10,54
information technology,Information Technology,4,54
information technology,Information Technologies,1,54
information technology,Information technologies,1,54
digital transformation,Digital transformation,18,44
digital transformation,digital transformation,18,44
digital transformation,Digital Transformation,7,44
digital transformation,Digital transformations,1,44
information system,Information systems,18,25
information system,information systems,3,25
information system,Information Systems,2,25
information system,Information system,1,25
information system,information system,1,25
top management team,Top management team,7,20
top management team,top management team,6,20
top management team,Top management teams,4,20
top management team,Top Management Team,2,20
top management team,top management teams,1,20
chief digital officer,Chief Digital Officer,5,12
chief digital officer,Chief digital officer,4,12
chief digital officer,chief digital officer,2,12
chief digital officer,chief digital officers,1,12
it strategy,IT strategy,8,12
it strategy,IT Strategy,3,12
it strategy,IT strategies,1,12
technology,Technology,9,11
technology,Technologies,1,11
technology,technology,1,11
it capability,IT capabilities,4,9
it capability,IT capability,3,9
it capability,IT Capabilities,1,9
it capability,IT Capability,1,9
it investment,IT investment,6,9
it investment,IT investments,3,9
cio role,CIO roles,4,8
cio role,CIO role,2,8
cio role,CIO Role,1,8
cio role,CIO Roles,1,8
competitive advantage,Competitive advantage,4,8
competitive advantage,Competitive Advantage,2,8
competitive advantage,competitive advantage,1,8
competitive advantage,Competitive advantages,1,8
green it,Green IT,6,8
green it,Green it,1,8
green it,Green ITS,1,8
role,Roles,5,8
role,role,1,8
role,Role,1,8
role,roles,1,8
cdo,CDO,5,7
cdo,CDOs,2,7
competency,Competencies,6,7
competency,competency,1,7
case study,Case study,4,6
case study,Case Studies,1,6
case study,Case studies,1,6
competence,Competences,3,6
competence,competence,2,6
competence,Competence,1,6
maturity model,Maturity model,2,6
maturity model,maturity model,1,6
maturity model,Maturity Model,1,6
maturity model,maturity models,1,6
maturity model,Maturity models,1,6
perception,Perceptions,4,6
perception,Perception,2,6
government chief information officer,government chief information officer,2,5
government chief information officer,Government Chief Information Officer,1,5
government chief information officer,Government chief information officer,1,5
government chief information officer,Government Chief Information Officers,1,5
municipality,Municipalities,3,5
municipality,municipalities,1,5
municipality,Municipality,1,5
capability,Capability,3,4
capability,Capabilities,1,4
cio compensation,CIO compensation,3,4
cio compensation,CIO compensations,1,4
city,cities,1,4
city,Cities,1,4
city,city,1,4
city,City,1,4
cloud,Cloud,2,4
cloud,cloud,1,4
cloud,Clouds,1,4
internal control,Internal control,3,4
internal control,Internal controls,1,4
interview,Interviews,2,4
interview,Interview,1,4
interview,interviews,1,4
it competence,IT competence,2,4
it competence,IT Competence,1,4
it competence,IT Competences,1,4
it professional,IT professionals,2,4
it professional,IT Professional,1,4
it professional,IT professional,1,4
leadership style,Leadership style,2,4
leadership style,leadership style,1,4
leadership style,Leadership Styles,1,4
organization,Organization,3,4
organization,Organizations,1,4
chief data officer,Chief data officer,1,3
chief data officer,chief data officer,1,3
chief data officer,chief data officers,1,3
chief information officer role,Chief information officer role,2,3
chief information officer role,Chief information officer roles,1,3
cio appointment,CIO appointments,2,3
cio appointment,CIO appointment,1,3
cyberattack,Cyberattack,2,3
cyberattack,Cyberattacks,1,3
digital technology,digital technologies,1,3
digital technology,Digital technologies,1,3
digital technology,Digital technology,1,3
hospital,Hospital,2,3
hospital,Hospitals,1,3
manager,Manager,1,3
manager,manager,1,3
manager,Managers,1,3
motivation,Motivations,2,3
motivation,motivation,1,3
ranking,Rankings,2,3
ranking,Ranking,1,3
senior executive,senior executive,1,3
senior executive,Senior executives,1,3
senior executive,senior executives,1,3
teaching case,teaching cases,2,3
teaching case,Teaching case,1,3
university,Universities,1,3
university,university,1,3
university,University,1,3
website,Websites,2,3
website,Website,1,3
career path,Career path,1,2
career path,career paths,1,2
complementarity,Complementarities,1,2
complementarity,Complementarity,1,2
cultural dimension,cultural dimension,1,2
cultural dimension,Cultural dimensions,1,2
design pattern,Design Pattern,1,2
design pattern,Design Patterns,1,2
developing country,Developing countries,1,2
developing country,Developing Country,1,2
digital tool,Digital Tool,1,2
digital tool,Digital tools,1,2
environmental pressure,Environmental pressure,1,2
environmental pressure,Environmental pressures,1,2
executive,Executive,1,2
executive,Executives,1,2
impact,Impact,1,2
impact,Impacts,1,2
influence behavior,Influence behavior,1,2
influence behavior,Influence behaviors,1,2
information behavior,Information behavior,1,2
information behavior,information behaviors,1,2
it human resource,IT human resource,1,2
it human resource,IT Human Resources,1,2
it role,IT role,1,2
it role,IT Roles,1,2
it/business relationship,IT/business relationship,1,2
it/business relationship,IT/business relationships,1,2
mathematical model,Mathematical model,1,2
mathematical model,Mathematical models,1,2
online survey,Online survey,1,2
online survey,Online surveys,1,2
ontology,Ontologies,1,2
ontology,Ontology,1,2
operational capability,Operational capabilities,1,2
operational capability,operational capability,1,2
r&d investment,R&D investment,1,2
r&d investment,R&D investments,1,2
transactive memory system,Transactive memory system,1,2
transactive memory system,transactive memory systems,1,2
