keyword,count
SMEs,12
SME,10
IT management,9
Information systems,5
Information management,4
Small and medium enterprises,4
Information System,3
ERP,3
Competitiveness,3
Small and medium-sized enterprises,3
Cloud computing,3
Strategic alignment,3
Information systems management,2
Information technology,2
Use,2
IT governance,2
IT performance,2
Small Business,2
IT-management,2
BIM,2
Information systems/management,2
Project management,2
Flexibility,2
IS management,2
Strategic planning,2
Adoption,2
Fractional CIO,2
Small businesses,2
Virtual CIO,2
Small business,2
Enterprise architecture management,2
Entrepreneurship,2
Organizational performance,2
IT,2
Reference model,2
Methodologies and frameworks,2
Technologies,2
Digital transformation,2
Dynamic capabilities,2
Organizational agility,2
Qualitative comparative analysis (QCA),2
Business Management,1
Configuration Management,1
CRM-System,1
ERP-System,1
Information Technology Management,1
Small and Medium Business Management,1
Digital inclusion,1
Management accounting information,1
Resource based view,1
SME performance,1
Business,1
e-business,1
Framework,1
Impact,1
Information science,1
Management,1
Constructs,1
IS performance,1
Management of information systems (IS),1
Small and medium enterprises (SMEs),1
IT alignment,1
Strategic IT orientation,1
Counseling Program,1
Counseling Service,1
Gross National Product,1
Marketing Research,1
L22 Firm Organization and Market Structure,1
L26 Entrepreneurship,1
M10 General,1
M15 IT Management,1
O33 Technological Change: Choices and Consequences,1
Diffusion Processes,1
traditional industries,1
Digital Transformation,1
Enablers,1
Literature Review,1
Business models,1
Employees,1
Internet of Things,1
Organizational structure,1
Agilität,1
Digitalisierung,1
Digitalisierungsstrategie,1
IT-strategie,1
KMU,1
Umfrage,1
Assessment of IT applications,1
Identification of IT applications,1
IT analysis,1
IT optimisation,1
Knowledge Management implementation,1
Housing,1
Knowledge management,1
Whole life cycle,1
Case Study Research,1
IT Governance in SMEs,1
IT-Business Alignment,1
IS,1
Exploratory factor analysis (EFA),1
Information technology (IT),1
Radio frequency identification (RFID),1
Small and medium enterprises (SMES),1
Portugal,1
Post-implementation,1
Resource-based view,1
Technology-organization-environment,1
Value,1
Interim management,1
IT leadership,1
Part-time management,1
Exploratory research,1
ICT,1
Logistic regression model,1
Technology Adoption,1
business strategy,1
it management,1
manufacturing industry,1
technological change,1
BPM & SOA parnership,1
Process management,1
Small business enterprises,1
Engineering,1
Enterprise Architecture Management,1
Information Systems Management,1
Situational Method Engineering,1
Software Artifacts,1
Computer usage,1
Information technology management,1
