id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
28	adoption	-0.5261	0.6735	5	7	10	5	2014.8	6	0.352
31	agency theory	0.703	-0.5634	4	10	14	7	2016.5714	11.1429	0.5762
45	alignment	-0.1634	-0.3452	1	10	11	8	2012.75	25.625	2.9536
49	ambidexterity	0.7886	0.7626	6	6	10	5	2016.4	41.6	2.9727
76	artificial intelligence	-0.4163	0.2102	1	10	12	6	2024	15.6667	2.7356
107	barriers	0.3687	0.9742	6	8	9	5	2016.4	9.8	0.8038
130	big data	-0.7299	-0.0866	2	11	15	11	2017.4545	43.5455	2.5115
131	big data analytics	-0.5736	-0.4904	2	4	6	5	2019.2	323.6	10.1253
151	board of directors	0.5437	-0.9515	4	10	16	6	2021.8333	36.5	2.3126
181	business intelligence	0.0819	-0.6824	7	10	15	11	2012.4545	14.0909	0.7259
202	business strategy	-0.1214	-0.4897	1	6	8	8	2014.125	25.375	0.6949
240	case study	-0.1702	0.1793	1	8	12	6	2012.3333	7.3333	0.4487
257	ceo	0.0522	0.316	1	12	24	8	2016.25	9.125	0.7808
269	cfo	0.1777	0.4684	1	11	20	7	2016.7143	7.1429	0.2976
271	challenges	0.3184	1.1354	6	5	8	6	2017.8333	8.5	0.5761
277	change management	0.3059	0.6146	6	8	9	6	2014.3333	3	0.1266
286	chief digital officer	1.0228	-0.0569	9	12	37	16	2019.625	38.6875	2.4292
289	chief executive officer	0.5005	-0.0095	2	11	17	5	2017.2	3.6	0.3488
307	chief marketing officer	-0.0598	-0.9243	4	8	13	5	2018.8	18.8	1.0416
317	cio	0.1133	0.0381	4	89	422	305	2014.7934	20.8984	1.1662
352	cio role	-0.0323	-0.289	1	10	13	12	2014.5833	24.25	1.0961
404	cloud computing	-0.464	0.526	5	21	28	28	2017.8214	11.9643	0.8111
425	collaboration	-0.1982	0.7345	5	10	13	6	2012.1667	25.1667	1.9909
449	competencies	0.8533	0.5291	7	9	14	7	2017.2857	16	0.8206
455	competitive advantage	-0.0575	-0.61	2	13	17	8	2011.125	115.25	2.7896
468	compliance	-1.0804	-0.314	3	8	8	6	2020.5	3.1667	0.3189
569	critical success factors	0.2928	-0.3182	1	6	9	7	2011.8571	24.5714	1.281
584	culture	0.6961	-0.2902	8	9	9	5	2012.4	5.6	0.4123
612	cybersecurity	-0.9793	-0.2919	3	14	16	10	2020.4	30.3	1.7772
713	digital innovation	0.868	-0.0793	8	14	23	9	2022.3333	41.7778	3.0315
729	digital transformation	0.3913	-0.1816	7	37	87	46	2022.1522	8.5435	0.8089
770	dynamic capabilities	-0.5241	0.1477	2	11	12	6	2018.1667	141.3333	4.6989
779	e-government	-0.1015	0.8979	5	8	11	15	2013.4	7.7333	0.5083
818	electronic health record	-1.0473	0.3215	3	5	6	8	2015.375	13.75	0.8422
