id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
27	adoption	-0.8858	-0.4329	4	7	10	5	2014.8	6	0.3506
30	agency theory	0.704	0.4086	6	10	14	7	2016.5714	11.1429	0.5464
44	alignment	-0.1936	0.006	2	10	11	8	2012.75	25.625	2.9721
48	ambidexterity	1.3737	-0.0112	3	5	9	5	2016.4	41.6	2.8231
74	artificial intelligence	-0.5943	-0.1353	2	10	12	6	2024	15.6667	2.6175
125	big data	-0.5815	0.3163	1	10	14	11	2017.4545	43.5455	2.5391
126	big data analytics	-0.5238	0.6341	1	4	6	5	2019.2	323.6	9.5699
146	board of directors	0.6619	0.8241	6	10	16	6	2021.8333	36.5	2.1956
173	business intelligence	0.0999	0.5725	2	10	15	11	2012.4545	14.0909	0.7263
194	business strategy	0.0037	0.0373	2	6	8	8	2014.125	25.375	0.6777
225	case study	-0.3458	-0.3494	7	8	12	6	2012.3333	7.3333	0.4406
240	ceo	-0.0622	-0.681	7	11	23	8	2016.25	9.125	0.7753
252	cfo	0.1236	-0.8017	7	11	20	7	2016.7143	7.1429	0.2906
254	challenges	-0.2739	-1.2021	8	4	7	6	2017.8333	8.5	0.5717
260	change management	0.0052	-0.5698	5	8	9	6	2014.3333	3	0.1206
269	chief digital officer	1.1862	0.1479	3	12	37	16	2019.625	38.6875	2.4584
289	chief marketing officer	0.138	0.9094	6	8	13	5	2018.8	18.8	1.0955
298	cio	0.1483	-0.0677	3	82	396	296	2014.6791	21.2466	1.1331
333	cio role	0.2426	-0.0575	2	9	12	11	2015	25.8182	1.1637
377	cloud computing	-0.6224	-0.4293	4	19	26	25	2017.4	12.24	0.7853
396	collaboration	-0.6915	-0.6737	4	10	13	6	2012.1667	25.1667	2.0291
419	competencies	0.6144	-0.7633	8	9	14	6	2016	18.6667	0.912
424	competitive advantage	-0.0783	0.4962	2	13	17	8	2011.125	115.25	2.6672
437	compliance	-0.9259	0.615	1	7	7	6	2020.5	3.1667	0.3172
525	critical success factors	0.2113	-0.22	2	6	9	7	2011.8571	24.5714	1.2298
539	culture	0.5269	-0.2498	3	9	9	5	2012.4	5.6	0.3846
567	cybersecurity	-0.831	0.6681	1	11	13	9	2020.6667	10.5556	0.7018
660	digital innovation	0.825	-0.34	3	13	22	9	2022.3333	41.7778	3.1617
676	digital transformation	0.439	0.1466	8	34	82	43	2022.1395	8.8605	0.8002
715	dynamic capabilities	-0.7456	0.1005	1	11	12	6	2018.1667	141.3333	4.5994
724	e-government	-0.846	-0.6102	4	7	10	15	2013.4	7.7333	0.5044
788	enterprise architecture	-1.0015	-0.2875	4	8	18	16	2012.875	16.125	1.0215
819	erp	-0.4196	-0.5502	4	14	24	11	2013.9091	6.8182	0.3932
842	event study	0.786	0.5125	6	9	13	7	2017	55.8571	0.8914
905	firm performance	-0.0813	0.6943	1	20	33	18	2016.8889	30.5556	2.0402
967	governance	-0.6262	0.5003	1	17	24	11	2015.4545	10.8182	0.7266
968	government	0.4363	-0.6791	8	9	16	6	2017.6667	4.5	0.3762
986	green it	0.9992	-0.0951	5	4	7	8	2011.625	30.625	1.5734
1020	higher education	-0.4654	0.144	7	18	31	18	2017.4444	5.6111	0.5174
1071	implementation	-0.1997	-0.5032	5	7	10	5	2016	8.4	0.6494
1119	information governance	-0.6759	0.5843	1	8	9	5	2017.2	55.8	2.6232
1129	information management	-0.2369	0.2466	1	11	19	12	2007.8333	28.3333	1.5276
