id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
4	adoption	0.123	-0.1858	1	5	6	3	2016	1.6667	0.2347
11	bim	-0.8085	-0.2519	4	6	7	2	2019.5	127	3.0577
26	business strategy	0.2557	-0.4755	1	3	3	2	2016	1	0.6
29	case study	-0.6714	0.531	8	2	3	2	2008	1	0.0938
39	competitiveness	-0.2789	-0.5046	3	4	6	3	2016.6667	1	0.1282
59	digital transformation	0.8188	0.7503	5	4	8	3	2023	8.3333	2.5993
63	dynamic capabilities	0.7782	0.5257	5	7	11	3	2021.6667	25	3.4001
74	enterprise architecture management	-0.3279	-0.0425	6	3	4	3	2013	9.3333	1.5156
77	enterprise systems	0.4167	-0.2658	1	4	4	2	2017.5	0.5	0.1053
78	entrepreneurship	0.4383	-0.0458	1	7	7	3	2019.6667	21.3333	1.9394
80	erp	-0.6619	0.2489	9	3	5	3	2017	44.6667	0.3718
84	flexibility	-1.1438	0.5401	2	4	8	2	2009	21	2.9258
86	fractional cio	1.0614	0.1439	7	3	8	3	2023	3.6667	0.9974
91	higher education	0.4704	-0.4204	1	3	3	2	2016	3	0.3937
104	information management	-0.536	-0.2949	4	11	15	4	2015.5	56.25	1.6822
106	information systems	-0.8548	0.2218	2	14	23	10	2013.8	28.6	1.6352
107	information systems management	-0.7323	-0.1413	4	9	15	6	2017.3333	59	1.9192
109	information technology	-0.4133	-0.1317	9	7	9	4	2014.5	28.5	1.6761
110	information technology management	1.1304	-0.0524	7	1	1	2	2012.5	24.5	0.9245
124	is management	-1.1939	0.4501	2	4	8	2	2009	21	2.9258
131	it	-0.2448	-0.3073	3	5	6	3	2013.3333	4	1.0282
132	it alignment	0.4158	-0.5524	1	4	4	2	2020.5	15	0.6416
137	it governance	0.2011	-0.5991	1	5	6	2	2015.5	16	0.8461
142	it management	-0.0336	-0.1768	6	13	19	13	2014.1538	14.5385	1.3925
150	it performance	0.315	-0.563	1	5	5	2	2013	13.5	0.9531
157	it-business alignment	-0.0901	0.6929	8	1	1	2	2019	5	0.1412
196	organizational agility	0.911	0.7197	5	4	7	2	2024	7	2.3275
197	organizational performance	-0.0446	-0.52	3	3	3	2	2022.5	33.5	3.4269
207	process model	0.2774	0.065	6	4	4	2	2013	4	0.8717
209	project management	-0.9158	-0.2024	4	4	6	3	2017.3333	46	1.8332
212	qualitative comparative analysis (qca)	0.8949	0.7952	5	4	7	2	2024	7	2.3275
216	reference model	0.1741	0.0729	6	3	4	2	2012.5	3	1.7353
228	small business	0.9831	0.01	7	8	14	7	2015.7143	17.5714	1.5679
233	smes	-0.0691	0.1225	8	34	67	31	2015.4516	19	1.2536
236	strategic alignment	0.2501	-0.3219	1	9	9	4	2014.25	27.5	3.0998
243	strategic planning	-1.2363	0.5312	2	4	8	2	2009	21	2.9258
254	technologies	-0.1453	-0.5661	3	3	3	2	2020.5	19	1.7538
268	use	-0.6576	0.0697	9	6	7	2	2017	107	1.2864
270	virtual cio	1.1444	0.1307	7	3	6	2	2022.5	4.5	0.4962
